episode,score
0,0.0
1,2.0
2,1.0
3,0.0
4,2.0
5,-1.0
6,-1.0
7,-1.0
8,-1.0
9,0.0
10,1.0
11,2.0
12,0.0
13,2.0
14,0.0
15,1.0
16,1.0
17,1.0
18,0.0
19,-3.0
20,3.0
21,1.0
22,-1.0
23,-2.0
24,1.0
25,0.0
26,0.0
27,1.0
28,1.0
29,-1.0
30,0.0
31,0.0
32,1.0
33,1.0
34,-2.0
35,2.0
36,2.0
37,-1.0
38,-1.0
39,0.0
40,0.0
41,2.0
42,0.0
43,3.0
44,1.0
45,0.0
46,-2.0
47,0.0
48,0.0
49,2.0
50,1.0
51,3.0
52,0.0
53,0.0
54,2.0
55,2.0
56,0.0
57,0.0
58,1.0
59,0.0
60,1.0
61,2.0
62,0.0
63,2.0
64,0.0
65,-1.0
66,2.0
67,1.0
68,-1.0
69,1.0
70,1.0
71,2.0
72,1.0
73,2.0
74,5.0
75,1.0
76,2.0
77,1.0
78,1.0
79,2.0
80,1.0
81,2.0
82,0.0
83,2.0
84,2.0
85,2.0
86,3.0
87,2.0
88,2.0
89,-1.0
90,1.0
91,-1.0
92,1.0
93,-1.0
94,-2.0
95,2.0
96,2.0
97,1.0
98,1.0
99,1.0
100,3.0
101,4.0
102,2.0
103,1.0
104,3.0
105,9.0
106,5.0
107,2.0
108,5.0
109,2.0
110,1.0
111,1.0
112,4.0
113,0.0
114,0.0
115,2.0
116,4.0
117,2.0
118,0.0
119,7.0
120,3.0
121,3.0
122,0.0
123,4.0
124,3.0
125,1.0
126,6.0
127,4.0
128,4.0
129,0.0
130,4.0
131,2.0
132,6.0
133,4.0
134,6.0
135,4.0
136,8.0
137,3.0
138,2.0
139,4.0
140,4.0
141,5.0
142,3.0
143,4.0
144,1.0
145,2.0
146,3.0
147,3.0
148,2.0
149,5.0
150,4.0
151,1.0
152,4.0
153,8.0
154,8.0
155,5.0
156,2.0
157,2.0
158,4.0
159,6.0
160,1.0
161,5.0
162,4.0
163,3.0
164,8.0
165,1.0
166,8.0
167,11.0
168,10.0
169,3.0
170,3.0
171,5.0
172,4.0
173,4.0
174,3.0
175,3.0
176,10.0
177,6.0
178,4.0
179,2.0
180,3.0
181,3.0
182,3.0
183,5.0
184,2.0
185,6.0
186,6.0
187,1.0
188,8.0
189,4.0
190,8.0
191,5.0
192,7.0
193,4.0
194,12.0
195,5.0
196,8.0
197,5.0
198,3.0
199,5.0
200,4.0
201,2.0
202,5.0
203,2.0
204,7.0
205,2.0
206,4.0
207,10.0
208,7.0
209,2.0
210,3.0
211,4.0
212,6.0
213,10.0
214,10.0
215,13.0
216,5.0
217,3.0
218,7.0
219,3.0
220,10.0
221,5.0
222,10.0
223,5.0
224,10.0
225,5.0
226,9.0
227,4.0
228,2.0
229,1.0
230,7.0
231,1.0
232,6.0
233,7.0
234,4.0
235,6.0
236,9.0
237,6.0
238,4.0
239,5.0
240,0.0
241,9.0
242,9.0
243,8.0
244,4.0
245,4.0
246,2.0
247,7.0
248,1.0
249,3.0
