,episode,score
0,0,0.0
1,1,1.0
2,2,0.0
3,3,-2.0
4,4,-1.0
5,5,0.0
6,6,0.0
7,7,0.0
8,8,0.0
9,9,1.0
10,10,-1.0
11,11,1.0
12,12,-1.0
13,13,1.0
14,14,0.0
15,15,1.0
16,16,0.0
17,17,-1.0
18,18,0.0
19,19,-1.0
20,20,1.0
21,21,-1.0
22,22,-1.0
23,23,1.0
24,24,1.0
25,25,-3.0
26,26,-1.0
27,27,0.0
28,28,1.0
29,29,1.0
30,30,-2.0
31,31,0.0
32,32,-3.0
33,33,1.0
34,34,0.0
35,35,-3.0
36,36,2.0
37,37,1.0
38,38,-1.0
39,39,2.0
40,40,1.0
41,41,2.0
42,42,0.0
43,43,1.0
44,44,1.0
45,45,0.0
46,46,0.0
47,47,0.0
48,48,1.0
49,49,-1.0
50,50,0.0
51,51,1.0
52,52,0.0
53,53,-1.0
54,54,0.0
55,55,2.0
56,56,-1.0
57,57,-2.0
58,58,0.0
59,59,2.0
60,60,-2.0
61,61,0.0
62,62,-1.0
63,63,1.0
64,64,1.0
65,65,0.0
66,66,0.0
67,67,0.0
68,68,0.0
69,69,3.0
70,70,-1.0
71,71,1.0
72,72,1.0
73,73,1.0
74,74,6.0
75,75,1.0
76,76,2.0
77,77,1.0
78,78,2.0
79,79,-1.0
80,80,3.0
81,81,2.0
82,82,-1.0
83,83,3.0
84,84,6.0
85,85,3.0
86,86,0.0
87,87,1.0
88,88,2.0
89,89,-1.0
90,90,3.0
91,91,0.0
92,92,1.0
93,93,3.0
94,94,5.0
95,95,1.0
96,96,2.0
97,97,1.0
98,98,4.0
99,99,0.0
100,100,3.0
101,101,1.0
102,102,2.0
103,103,2.0
104,104,3.0
105,105,3.0
106,106,3.0
107,107,3.0
108,108,2.0
109,109,2.0
110,110,4.0
111,111,2.0
112,112,2.0
113,113,4.0
114,114,3.0
115,115,2.0
116,116,1.0
117,117,4.0
118,118,0.0
119,119,8.0
120,120,3.0
121,121,3.0
122,122,1.0
123,123,6.0
124,124,1.0
125,125,6.0
126,126,4.0
127,127,5.0
128,128,6.0
129,129,4.0
130,130,3.0
131,131,2.0
132,132,3.0
133,133,-2.0
134,134,2.0
135,135,3.0
136,136,2.0
137,137,4.0
138,138,4.0
139,139,5.0
140,140,4.0
141,141,4.0
142,142,0.0
143,143,-1.0
144,144,0.0
145,145,10.0
146,146,4.0
147,147,3.0
148,148,3.0
149,149,1.0
150,150,7.0
151,151,2.0
152,152,2.0
153,153,4.0
154,154,6.0
155,155,0.0
156,156,3.0
157,157,9.0
158,158,6.0
159,159,4.0
160,160,2.0
161,161,6.0
162,162,5.0
163,163,7.0
164,164,5.0
165,165,7.0
166,166,1.0
167,167,0.0
168,168,3.0
169,169,4.0
170,170,8.0
171,171,4.0
172,172,4.0
173,173,3.0
174,174,6.0
175,175,3.0
176,176,5.0
177,177,4.0
178,178,4.0
179,179,2.0
180,180,9.0
181,181,5.0
182,182,7.0
183,183,4.0
184,184,3.0
185,185,8.0
186,186,6.0
187,187,4.0
188,188,8.0
189,189,4.0
190,190,8.0
