episode,score
0,1.0
1,0.0
2,0.0
3,0.0
4,1.0
5,-2.0
6,2.0
7,1.0
8,0.0
9,0.0
10,2.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,1.0
18,-1.0
19,2.0
20,1.0
21,-1.0
22,-3.0
23,0.0
24,-1.0
25,0.0
26,1.0
27,-1.0
28,-2.0
29,-1.0
30,-1.0
31,0.0
32,-1.0
33,0.0
34,0.0
35,2.0
36,3.0
37,3.0
38,-1.0
39,1.0
40,0.0
41,2.0
42,-1.0
43,0.0
44,1.0
45,1.0
46,1.0
47,3.0
48,1.0
49,0.0
50,1.0
51,2.0
52,2.0
53,5.0
54,1.0
55,-1.0
56,3.0
57,4.0
58,2.0
59,1.0
60,0.0
61,1.0
62,-1.0
63,-1.0
64,1.0
65,0.0
66,1.0
67,0.0
68,0.0
69,2.0
70,1.0
71,4.0
72,0.0
73,1.0
74,2.0
75,1.0
76,1.0
77,5.0
78,1.0
79,0.0
80,4.0
81,3.0
82,2.0
83,0.0
84,2.0
85,1.0
86,1.0
87,7.0
88,5.0
89,2.0
90,0.0
91,3.0
92,2.0
93,3.0
94,4.0
95,0.0
96,5.0
97,2.0
98,0.0
99,4.0
100,4.0
101,5.0
102,2.0
103,3.0
104,3.0
105,-1.0
106,4.0
107,2.0
108,3.0
109,3.0
110,5.0
111,-1.0
112,4.0
113,3.0
114,1.0
115,4.0
116,5.0
117,3.0
118,4.0
119,1.0
120,2.0
121,5.0
122,2.0
123,3.0
124,4.0
125,8.0
126,6.0
127,6.0
128,1.0
129,3.0
130,5.0
131,0.0
132,2.0
133,2.0
134,2.0
135,2.0
136,0.0
137,2.0
138,4.0
139,5.0
140,7.0
141,0.0
142,2.0
143,1.0
144,4.0
145,0.0
146,5.0
147,2.0
148,3.0
149,4.0
150,0.0
151,6.0
152,2.0
153,4.0
154,4.0
155,6.0
156,1.0
157,4.0
158,2.0
159,6.0
160,4.0
161,1.0
162,2.0
163,6.0
164,6.0
165,2.0
166,-1.0
167,9.0
168,5.0
169,7.0
170,8.0
171,1.0
172,8.0
173,5.0
174,7.0
175,6.0
176,3.0
177,3.0
178,4.0
179,10.0
180,6.0
181,2.0
182,6.0
183,5.0
184,2.0
185,8.0
186,10.0
187,3.0
188,5.0
189,8.0
190,8.0
191,8.0
192,6.0
193,6.0
194,5.0
195,9.0
196,6.0
197,8.0
198,6.0
199,4.0
200,4.0
201,0.0
202,8.0
203,6.0
204,11.0
205,3.0
206,9.0
207,2.0
208,6.0
209,6.0
210,4.0
211,9.0
212,6.0
213,8.0
214,8.0
215,6.0
216,11.0
217,6.0
218,10.0
219,7.0
220,2.0
221,3.0
222,10.0
223,6.0
224,8.0
225,9.0
226,4.0
227,4.0
228,10.0
229,4.0
230,6.0
231,9.0
232,9.0
233,10.0
234,6.0
235,11.0
236,9.0
237,13.0
238,7.0
239,10.0
240,9.0
241,10.0
242,5.0
243,11.0
244,8.0
245,9.0
246,13.0
247,7.0
248,3.0
249,8.0
250,6.0
251,6.0
252,13.0
253,3.0
254,4.0
255,10.0
256,11.0
257,10.0
258,14.0
259,3.0
260,6.0
261,3.0
262,5.0
263,5.0
264,8.0
265,6.0
266,8.0
267,6.0
268,9.0
269,3.0
270,9.0
271,8.0
272,4.0
273,6.0
274,11.0
275,6.0
276,6.0
277,7.0
278,9.0
279,16.0
280,9.0
281,7.0
282,7.0
283,13.0
284,14.0
285,10.0
286,13.0
287,13.0
288,9.0
289,8.0
290,8.0
291,12.0
292,7.0
293,12.0
294,14.0
295,12.0
296,9.0
297,7.0
298,12.0
299,13.0
300,18.0
301,6.0
302,15.0
303,8.0
304,9.0
305,13.0
306,8.0
307,6.0
308,7.0
309,15.0
310,7.0
311,6.0
312,4.0
313,12.0
314,11.0
315,11.0
316,0.0
317,9.0
318,12.0
319,10.0
320,8.0
321,1.0
322,5.0
323,6.0
324,6.0
325,9.0
326,10.0
327,6.0
328,9.0
329,12.0
330,12.0
331,16.0
332,7.0
333,8.0
334,6.0
335,12.0
336,16.0
337,13.0
338,9.0
339,12.0
340,11.0
341,8.0
342,6.0
343,10.0
344,14.0
345,14.0
346,17.0
347,9.0
348,8.0
349,11.0
350,9.0
351,16.0
352,18.0
353,8.0
354,8.0
355,8.0
356,7.0
357,6.0
358,10.0
359,14.0
360,10.0
361,9.0
362,14.0
363,8.0
364,14.0
365,7.0
366,14.0
367,6.0
368,9.0
369,11.0
370,5.0
371,14.0
372,9.0
373,12.0
374,9.0
375,18.0
376,6.0
377,4.0
378,10.0
379,10.0
380,9.0
381,6.0
382,10.0
383,10.0
384,6.0
385,12.0
386,2.0
387,9.0
388,11.0
389,10.0
390,14.0
391,9.0
392,11.0
393,5.0
394,15.0
395,9.0
396,14.0
