episode,score
0,0.0
1,1.0
2,-1.0
3,0.0
4,-2.0
5,1.0
6,-1.0
7,-1.0
8,-1.0
9,-3.0
10,-1.0
11,1.0
12,0.0
13,2.0
14,1.0
15,-3.0
16,1.0
17,2.0
18,0.0
19,-1.0
20,2.0
21,0.0
22,-1.0
23,0.0
24,1.0
25,0.0
26,0.0
27,-2.0
28,0.0
29,0.0
30,0.0
31,0.0
32,-2.0
33,1.0
34,0.0
35,-2.0
36,0.0
37,0.0
38,0.0
39,0.0
40,-2.0
41,3.0
42,0.0
43,1.0
44,0.0
45,0.0
46,0.0
47,-2.0
48,1.0
49,0.0
50,0.0
51,-1.0
52,-1.0
53,1.0
54,1.0
55,0.0
56,1.0
57,-3.0
58,-2.0
59,0.0
60,0.0
61,-1.0
62,4.0
63,2.0
64,1.0
65,-1.0
66,1.0
67,-2.0
68,2.0
69,3.0
70,3.0
71,1.0
72,2.0
73,3.0
74,2.0
75,0.0
76,2.0
77,0.0
78,1.0
79,3.0
80,3.0
81,2.0
82,3.0
83,7.0
84,3.0
85,2.0
86,-1.0
87,-1.0
88,2.0
89,2.0
90,0.0
91,0.0
92,2.0
93,4.0
94,1.0
95,2.0
96,3.0
97,0.0
98,4.0
99,2.0
100,5.0
101,3.0
102,2.0
103,5.0
104,5.0
105,3.0
106,3.0
107,0.0
108,5.0
109,4.0
110,0.0
111,3.0
112,2.0
113,2.0
114,1.0
115,3.0
116,-1.0
117,1.0
118,4.0
119,5.0
120,0.0
121,3.0
122,4.0
123,2.0
124,4.0
125,1.0
126,4.0
127,3.0
128,4.0
129,2.0
130,4.0
131,8.0
132,2.0
133,6.0
134,8.0
135,4.0
136,9.0
137,2.0
138,6.0
139,2.0
140,2.0
141,2.0
142,6.0
143,5.0
144,0.0
145,7.0
146,3.0
147,1.0
148,7.0
149,4.0
150,6.0
151,2.0
152,2.0
153,7.0
154,6.0
155,6.0
156,4.0
157,4.0
158,7.0
159,5.0
160,1.0
161,7.0
162,12.0
163,5.0
164,2.0
165,5.0
166,2.0
167,9.0
168,2.0
169,4.0
170,6.0
171,3.0
172,1.0
173,2.0
174,4.0
175,9.0
176,5.0
177,3.0
178,2.0
179,6.0
180,3.0
181,3.0
182,7.0
183,7.0
184,6.0
185,0.0
186,7.0
187,4.0
188,5.0
189,2.0
190,6.0
191,1.0
192,4.0
193,5.0
194,6.0
195,5.0
196,8.0
197,8.0
198,3.0
199,9.0
200,0.0
201,1.0
202,10.0
203,3.0
204,6.0
205,9.0
206,11.0
207,10.0
208,5.0
209,4.0
210,0.0
211,6.0
212,3.0
213,6.0
214,6.0
215,1.0
216,8.0
217,4.0
218,6.0
219,7.0
220,3.0
221,4.0
222,3.0
223,9.0
224,4.0
225,5.0
226,3.0
227,4.0
228,5.0
229,7.0
230,10.0
231,7.0
232,3.0
233,11.0
234,8.0
235,6.0
236,4.0
237,4.0
238,6.0
239,10.0
240,4.0
241,11.0
242,3.0
243,5.0
244,5.0
245,4.0
246,10.0
247,1.0
248,4.0
249,7.0
250,10.0
251,7.0
252,6.0
253,1.0
254,3.0
255,9.0
256,6.0
257,8.0
258,7.0
259,4.0
260,9.0
261,10.0
262,10.0
263,6.0
264,0.0
265,6.0
266,1.0
267,8.0
268,7.0
269,5.0
270,5.0
271,4.0
272,7.0
273,4.0
274,6.0
275,0.0
276,4.0
277,2.0
278,13.0
279,5.0
280,3.0
281,7.0
282,9.0
283,10.0
284,4.0
285,3.0
286,4.0
287,6.0
288,9.0
289,10.0
290,12.0
291,5.0
292,10.0
293,9.0
294,15.0
295,14.0
296,12.0
297,8.0
298,11.0
299,7.0
300,14.0
301,13.0
302,4.0
303,9.0
304,6.0
305,7.0
306,7.0
307,5.0
308,9.0
309,11.0
310,11.0
311,9.0
312,10.0
313,2.0
314,4.0
315,6.0
316,20.0
317,10.0
318,6.0
319,7.0
320,10.0
321,9.0
322,5.0
323,5.0
324,7.0
325,10.0
326,19.0
327,13.0
328,11.0
329,6.0
330,7.0
331,3.0
332,12.0
333,6.0
334,13.0
335,11.0
336,4.0
337,10.0
338,7.0
339,9.0
340,4.0
341,9.0
342,9.0
343,9.0
344,9.0
345,16.0
346,10.0
347,8.0
348,13.0
349,13.0
350,17.0
351,11.0
352,14.0
353,10.0
354,9.0
355,11.0
356,14.0
357,9.0
358,12.0
359,7.0
360,14.0
361,12.0
362,13.0
363,9.0
364,13.0
365,10.0
366,13.0
367,6.0
368,8.0
369,15.0
370,7.0
371,12.0
372,11.0
373,9.0
374,9.0
375,13.0
376,16.0
377,0.0
378,10.0
379,10.0
380,10.0
381,6.0
382,6.0
383,9.0
384,10.0
385,10.0
386,10.0
387,8.0
388,8.0
389,6.0
390,17.0
391,9.0
392,9.0
393,7.0
394,13.0
395,17.0
396,7.0
397,6.0
398,11.0
399,10.0
400,5.0
401,10.0
402,9.0
403,12.0
404,11.0
405,17.0
406,12.0
407,9.0
408,15.0
409,17.0
410,13.0
411,13.0
412,12.0
413,10.0
414,11.0
415,13.0
416,11.0
417,16.0
418,15.0
419,11.0
420,12.0
421,9.0
422,12.0
423,9.0
424,15.0
425,13.0
426,6.0
427,15.0
428,12.0
429,11.0
430,10.0
431,13.0
432,15.0
433,10.0
434,15.0
435,17.0
436,18.0
437,13.0
438,10.0
439,10.0
440,10.0
441,9.0
442,9.0
443,8.0
444,15.0
445,13.0
446,8.0
447,12.0
448,9.0
449,14.0
450,11.0
451,15.0
452,13.0
453,12.0
454,16.0
455,11.0
456,12.0
457,14.0
458,15.0
459,12.0
460,10.0
461,14.0
462,16.0
463,11.0
464,15.0
465,12.0
466,13.0
467,18.0
468,13.0
469,14.0
470,9.0
471,11.0
472,13.0
473,10.0
474,13.0
475,12.0
476,19.0
477,12.0
478,12.0
479,12.0
480,17.0
481,13.0
482,20.0
483,11.0
484,13.0
485,12.0
486,4.0
487,17.0
488,19.0
489,13.0
490,9.0
491,14.0
492,12.0
493,11.0
494,16.0
495,17.0
496,13.0
497,10.0
498,14.0
499,18.0
500,8.0
501,13.0
502,11.0
503,19.0
504,16.0
505,9.0
506,12.0
507,10.0
508,12.0
509,14.0
510,12.0
511,17.0
512,13.0
513,9.0
514,14.0
515,17.0
516,10.0
517,10.0
518,16.0
519,13.0
520,13.0
521,17.0
522,16.0
523,13.0
524,15.0
525,13.0
526,7.0
527,15.0
528,15.0
529,15.0
530,16.0
531,15.0
532,11.0
533,10.0
534,15.0
535,9.0
536,8.0
537,11.0
538,16.0
539,15.0
540,12.0
541,10.0
542,12.0
543,14.0
544,8.0
545,17.0
546,9.0
547,14.0
548,17.0
549,15.0
550,11.0
551,15.0
552,14.0
553,12.0
554,15.0
555,14.0
556,14.0
557,17.0
558,14.0
559,15.0
560,13.0
561,17.0
562,15.0
563,18.0
564,15.0
565,17.0
566,16.0
567,14.0
568,12.0
569,15.0
570,12.0
571,18.0
572,16.0
573,15.0
574,17.0
575,21.0
576,13.0
577,13.0
578,20.0
579,14.0
580,13.0
581,10.0
582,16.0
583,18.0
584,18.0
585,12.0
586,15.0
587,18.0
588,13.0
589,21.0
590,12.0
591,21.0
592,16.0
593,16.0
594,8.0
595,8.0
596,14.0
597,19.0
598,4.0
599,8.0
600,13.0
601,20.0
602,19.0
603,15.0
604,15.0
605,15.0
606,17.0
607,16.0
608,14.0
609,18.0
610,14.0
611,18.0
612,15.0
613,14.0
614,15.0
615,17.0
616,15.0
617,14.0
618,14.0
619,13.0
620,10.0
621,21.0
622,19.0
623,11.0
624,14.0
625,17.0
626,17.0
627,21.0
628,15.0
629,10.0
630,24.0
631,13.0
632,12.0
633,18.0
634,12.0
635,17.0
