episode,score
0,1.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,1.0
7,-1.0
8,1.0
9,-2.0
10,0.0
11,1.0
12,-2.0
13,1.0
14,-1.0
15,3.0
16,0.0
17,0.0
18,0.0
19,0.0
20,-1.0
21,4.0
22,-1.0
23,-2.0
24,-1.0
25,1.0
26,1.0
27,-1.0
28,0.0
29,2.0
30,-1.0
31,2.0
32,-1.0
33,1.0
34,0.0
35,-1.0
36,0.0
37,2.0
38,0.0
39,1.0
40,1.0
41,0.0
42,2.0
43,-1.0
44,2.0
45,1.0
46,2.0
47,0.0
48,-1.0
49,1.0
50,1.0
51,0.0
52,-1.0
53,1.0
54,1.0
55,-2.0
56,1.0
57,0.0
58,1.0
59,0.0
60,1.0
61,-2.0
62,0.0
63,-2.0
64,2.0
65,0.0
66,1.0
67,0.0
68,2.0
69,0.0
70,1.0
71,-1.0
72,1.0
73,-1.0
74,2.0
75,-1.0
76,2.0
77,1.0
78,-1.0
79,-1.0
80,4.0
81,3.0
82,1.0
83,1.0
84,-2.0
85,0.0
86,1.0
87,2.0
88,1.0
89,4.0
90,0.0
91,4.0
92,2.0
93,-3.0
94,0.0
95,-1.0
96,0.0
97,0.0
98,-1.0
99,-1.0
100,2.0
101,0.0
102,0.0
103,3.0
104,0.0
105,1.0
106,1.0
107,-2.0
108,1.0
109,1.0
110,-1.0
111,-2.0
112,4.0
113,2.0
114,2.0
115,0.0
116,1.0
117,3.0
118,1.0
119,2.0
120,0.0
121,5.0
122,1.0
123,1.0
124,0.0
125,3.0
126,4.0
127,2.0
128,2.0
129,0.0
130,-2.0
131,2.0
132,4.0
133,1.0
134,0.0
135,1.0
136,5.0
137,3.0
138,-1.0
139,1.0
140,6.0
141,3.0
142,1.0
143,0.0
144,4.0
145,2.0
146,3.0
147,6.0
148,0.0
149,1.0
150,3.0
151,0.0
152,2.0
153,3.0
154,2.0
155,3.0
156,1.0
157,4.0
158,3.0
159,2.0
160,2.0
161,2.0
162,4.0
163,6.0
164,0.0
165,3.0
166,1.0
167,-3.0
168,1.0
169,1.0
170,4.0
171,1.0
172,3.0
173,3.0
174,7.0
175,9.0
176,3.0
177,4.0
178,5.0
179,4.0
180,2.0
181,-2.0
182,2.0
183,2.0
184,6.0
185,8.0
186,2.0
187,8.0
188,6.0
189,3.0
190,0.0
191,8.0
192,7.0
193,8.0
194,10.0
195,8.0
196,1.0
197,7.0
198,5.0
199,6.0
200,3.0
201,4.0
202,6.0
203,3.0
204,4.0
205,8.0
206,8.0
207,3.0
208,12.0
209,6.0
210,4.0
211,5.0
212,7.0
213,7.0
214,6.0
215,8.0
216,10.0
217,9.0
218,3.0
219,6.0
220,6.0
221,9.0
222,5.0
223,7.0
224,7.0
225,14.0
226,10.0
227,6.0
228,11.0
229,5.0
230,6.0
231,8.0
232,7.0
233,9.0
234,16.0
235,3.0
236,8.0
237,1.0
238,6.0
239,5.0
240,6.0
241,9.0
242,14.0
243,6.0
244,4.0
245,7.0
246,7.0
247,7.0
248,3.0
249,5.0
250,7.0
251,10.0
252,1.0
253,6.0
254,7.0
255,10.0
256,6.0
257,10.0
258,7.0
259,6.0
260,10.0
261,6.0
262,9.0
263,7.0
264,11.0
265,7.0
266,7.0
267,6.0
268,5.0
269,10.0
270,6.0
271,11.0
272,11.0
273,8.0
274,5.0
275,4.0
276,7.0
277,3.0
278,9.0
279,5.0
280,12.0
281,15.0
282,10.0
283,11.0
284,15.0
285,9.0
286,8.0
287,9.0
288,9.0
289,8.0
290,9.0
291,13.0
292,13.0
293,9.0
294,5.0
295,8.0
296,9.0
297,8.0
298,8.0
299,9.0
300,6.0
301,9.0
302,9.0
303,5.0
304,2.0
305,13.0
306,7.0
307,5.0
308,7.0
309,11.0
310,12.0
311,9.0
312,4.0
313,6.0
314,5.0
315,9.0
316,7.0
317,8.0
318,11.0
319,11.0
320,9.0
321,9.0
322,3.0
323,13.0
324,10.0
325,15.0
326,6.0
327,10.0
328,2.0
329,14.0
330,8.0
331,9.0
332,5.0
333,8.0
334,2.0
335,5.0
336,9.0
337,15.0
338,13.0
339,4.0
340,6.0
341,11.0
342,10.0
343,10.0
344,13.0
345,12.0
346,8.0
347,6.0
348,8.0
349,11.0
350,9.0
351,12.0
352,7.0
353,8.0
354,15.0
355,8.0
356,16.0
357,13.0
358,5.0
359,6.0
360,10.0
361,10.0
362,10.0
363,9.0
364,7.0
365,13.0
366,18.0
367,12.0
368,15.0
369,10.0
370,9.0
371,11.0
372,15.0
373,10.0
374,13.0
375,12.0
376,12.0
377,9.0
378,12.0
379,7.0
380,7.0
381,15.0
382,11.0
383,14.0
384,8.0
385,13.0
386,6.0
387,14.0
388,8.0
389,9.0
390,7.0
391,5.0
392,7.0
393,10.0
394,15.0
