episode,score
0,0.0
1,4.0
2,-1.0
3,-3.0
4,0.0
5,1.0
6,0.0
7,-2.0
8,0.0
9,1.0
10,0.0
11,1.0
12,-1.0
13,-2.0
14,2.0
15,3.0
16,0.0
17,1.0
18,0.0
19,0.0
20,0.0
21,-1.0
22,0.0
23,-1.0
24,-1.0
25,2.0
26,3.0
27,1.0
28,-1.0
29,0.0
30,0.0
31,0.0
32,-3.0
33,0.0
34,-2.0
35,-1.0
36,0.0
37,0.0
38,-1.0
39,0.0
40,0.0
41,-1.0
42,0.0
43,2.0
44,-2.0
45,0.0
46,2.0
47,-2.0
48,1.0
49,-2.0
50,0.0
51,0.0
52,1.0
53,1.0
54,2.0
55,1.0
56,2.0
57,-6.0
58,1.0
59,2.0
60,-1.0
61,0.0
62,4.0
63,3.0
64,1.0
65,1.0
66,0.0
67,2.0
68,0.0
69,0.0
70,-2.0
71,1.0
72,1.0
73,1.0
74,-1.0
75,2.0
76,4.0
77,2.0
78,-1.0
79,0.0
80,0.0
81,1.0
82,1.0
83,1.0
84,2.0
85,1.0
86,1.0
87,1.0
88,0.0
89,2.0
90,3.0
91,2.0
92,2.0
93,1.0
94,1.0
95,0.0
96,0.0
97,2.0
98,5.0
99,5.0
100,5.0
101,1.0
102,2.0
103,1.0
104,0.0
105,0.0
106,5.0
107,0.0
108,4.0
109,3.0
110,0.0
111,2.0
112,3.0
113,2.0
114,2.0
115,7.0
116,0.0
117,1.0
118,4.0
119,1.0
120,1.0
121,-1.0
122,2.0
123,2.0
124,4.0
125,-1.0
126,1.0
127,2.0
128,1.0
129,2.0
130,2.0
131,6.0
132,3.0
133,3.0
134,-1.0
135,4.0
136,5.0
137,-2.0
138,3.0
139,-1.0
140,1.0
141,2.0
142,1.0
143,0.0
144,9.0
145,4.0
146,2.0
147,0.0
148,3.0
149,5.0
150,2.0
151,6.0
152,1.0
153,3.0
154,9.0
155,4.0
156,6.0
157,3.0
158,3.0
159,2.0
160,7.0
161,9.0
162,2.0
163,2.0
164,5.0
165,7.0
166,7.0
167,3.0
168,2.0
169,1.0
170,4.0
171,5.0
172,9.0
173,2.0
174,4.0
175,8.0
176,1.0
177,3.0
178,1.0
179,2.0
180,6.0
181,3.0
182,4.0
183,6.0
184,9.0
185,6.0
186,6.0
187,3.0
188,1.0
189,2.0
190,5.0
191,1.0
192,1.0
193,3.0
194,4.0
195,5.0
196,5.0
197,4.0
198,2.0
199,7.0
200,6.0
201,4.0
202,7.0
203,4.0
204,3.0
205,1.0
206,6.0
207,13.0
208,6.0
209,5.0
210,8.0
211,9.0
212,9.0
213,6.0
214,0.0
215,6.0
216,1.0
217,6.0
218,3.0
219,1.0
220,4.0
221,11.0
222,3.0
223,7.0
224,9.0
225,4.0
226,4.0
227,4.0
228,7.0
229,16.0
230,7.0
231,2.0
232,3.0
233,3.0
234,4.0
235,3.0
236,5.0
237,2.0
238,3.0
239,4.0
240,0.0
241,8.0
242,7.0
243,6.0
244,7.0
245,8.0
246,4.0
247,3.0
248,8.0
249,6.0
250,5.0
251,6.0
252,9.0
253,6.0
254,4.0
255,6.0
256,8.0
257,10.0
258,14.0
259,5.0
260,6.0
261,9.0
262,3.0
263,8.0
264,7.0
265,9.0
266,8.0
267,12.0
268,4.0
269,10.0
270,6.0
271,9.0
272,7.0
273,8.0
274,2.0
275,10.0
276,11.0
277,8.0
278,9.0
279,10.0
280,6.0
281,4.0
282,9.0
283,8.0
284,8.0
285,1.0
286,10.0
287,14.0
288,12.0
289,8.0
290,11.0
291,12.0
292,12.0
293,4.0
294,6.0
295,8.0
296,11.0
297,6.0
298,3.0
299,12.0
300,6.0
301,14.0
302,10.0
303,11.0
304,8.0
305,11.0
306,10.0
307,9.0
308,5.0
309,7.0
310,5.0
311,9.0
312,6.0
313,12.0
314,10.0
315,11.0
316,6.0
317,11.0
318,13.0
319,14.0
320,7.0
321,7.0
322,8.0
323,14.0
324,10.0
325,9.0
326,8.0
327,6.0
328,14.0
329,9.0
330,8.0
331,10.0
332,10.0
333,9.0
334,3.0
335,13.0
336,10.0
337,2.0
338,11.0
339,11.0
340,13.0
341,10.0
342,8.0
343,5.0
344,12.0
345,7.0
346,10.0
347,9.0
348,11.0
349,9.0
350,15.0
351,13.0
352,12.0
353,10.0
354,7.0
355,10.0
356,10.0
