episode,score
0,0.0
1,0.0
2,-1.0
3,-1.0
4,-1.0
5,1.0
6,-2.0
7,0.0
8,-1.0
9,2.0
10,1.0
11,-2.0
12,-1.0
13,-2.0
14,2.0
15,0.0
16,0.0
17,-2.0
18,0.0
19,0.0
20,1.0
21,1.0
22,-1.0
23,0.0
24,0.0
25,0.0
26,-2.0
27,0.0
28,-1.0
29,0.0
30,0.0
31,-1.0
32,0.0
33,1.0
34,1.0
35,0.0
36,0.0
37,0.0
38,0.0
39,1.0
40,-1.0
41,1.0
42,0.0
43,1.0
44,-1.0
45,1.0
46,0.0
47,2.0
48,1.0
49,1.0
50,-1.0
51,-1.0
52,1.0
53,1.0
54,3.0
55,1.0
56,0.0
57,1.0
58,-1.0
59,0.0
60,2.0
61,4.0
62,0.0
63,2.0
64,1.0
65,3.0
66,2.0
67,0.0
68,1.0
69,3.0
70,1.0
71,4.0
72,2.0
73,1.0
74,1.0
75,3.0
76,1.0
77,0.0
78,1.0
79,4.0
80,3.0
81,1.0
82,4.0
83,-1.0
84,4.0
85,3.0
86,1.0
87,0.0
88,2.0
89,0.0
90,2.0
91,4.0
92,4.0
93,0.0
94,3.0
95,3.0
96,3.0
97,0.0
98,1.0
99,4.0
100,5.0
101,2.0
102,0.0
103,2.0
104,2.0
105,1.0
106,2.0
107,2.0
108,4.0
109,2.0
110,3.0
111,4.0
112,7.0
113,0.0
114,5.0
115,1.0
116,5.0
117,4.0
118,3.0
119,3.0
120,3.0
121,3.0
122,5.0
123,0.0
124,1.0
125,0.0
126,5.0
127,4.0
128,6.0
129,0.0
130,4.0
131,3.0
132,1.0
133,1.0
134,5.0
135,5.0
136,5.0
137,0.0
138,2.0
139,-1.0
140,0.0
141,0.0
142,1.0
143,2.0
144,2.0
145,7.0
146,4.0
147,4.0
148,5.0
149,3.0
150,2.0
151,2.0
152,4.0
153,6.0
154,6.0
155,7.0
156,2.0
157,2.0
158,5.0
159,4.0
160,5.0
161,1.0
162,4.0
163,5.0
164,3.0
165,3.0
166,6.0
167,4.0
168,5.0
169,4.0
170,4.0
171,6.0
172,9.0
173,2.0
174,2.0
175,2.0
176,4.0
177,8.0
178,3.0
179,5.0
180,1.0
181,6.0
182,8.0
183,3.0
184,5.0
185,3.0
186,0.0
187,2.0
188,2.0
189,6.0
190,3.0
191,4.0
192,6.0
193,5.0
194,4.0
195,6.0
196,6.0
197,12.0
198,6.0
199,9.0
200,5.0
201,4.0
202,4.0
203,8.0
204,7.0
205,7.0
206,5.0
207,5.0
208,6.0
209,3.0
210,1.0
211,7.0
212,5.0
213,2.0
214,1.0
215,3.0
216,7.0
217,7.0
218,2.0
219,6.0
220,10.0
221,11.0
222,9.0
223,5.0
224,11.0
225,2.0
226,8.0
227,8.0
228,8.0
229,7.0
230,5.0
231,7.0
232,3.0
233,3.0
234,16.0
235,9.0
236,5.0
237,10.0
238,2.0
239,0.0
240,6.0
241,4.0
242,5.0
243,15.0
244,2.0
245,8.0
246,6.0
247,7.0
248,2.0
249,7.0
250,2.0
251,4.0
252,8.0
253,9.0
254,10.0
255,5.0
256,10.0
257,4.0
258,6.0
259,8.0
260,5.0
261,6.0
262,7.0
263,6.0
264,2.0
265,6.0
266,13.0
267,9.0
268,8.0
269,11.0
270,7.0
271,6.0
272,6.0
273,7.0
274,4.0
275,7.0
276,5.0
277,6.0
278,6.0
279,4.0
280,7.0
281,3.0
282,5.0
283,7.0
284,11.0
285,6.0
286,9.0
287,2.0
288,5.0
289,6.0
290,7.0
291,9.0
292,13.0
293,8.0
294,6.0
295,2.0
296,7.0
297,9.0
298,6.0
299,10.0
300,4.0
301,7.0
302,9.0
303,9.0
304,2.0
305,5.0
306,1.0
307,10.0
308,11.0
309,15.0
310,3.0
311,3.0
312,10.0
313,13.0
314,5.0
315,5.0
316,10.0
317,6.0
318,7.0
319,8.0
320,7.0
321,8.0
322,2.0
323,8.0
324,9.0
325,4.0
326,7.0
327,10.0
328,12.0
329,8.0
330,8.0
331,9.0
332,10.0
333,5.0
334,2.0
335,10.0
336,8.0
337,9.0
338,4.0
339,7.0
340,9.0
341,10.0
342,7.0
343,4.0
344,10.0
345,12.0
346,8.0
347,8.0
348,7.0
349,14.0
350,9.0
351,7.0
352,4.0
353,12.0
354,10.0
355,9.0
356,11.0
357,15.0
358,7.0
359,7.0
360,12.0
361,15.0
362,11.0
363,4.0
364,11.0
365,8.0
366,9.0
367,10.0
368,15.0
369,20.0
370,12.0
371,7.0
372,10.0
373,9.0
374,13.0
375,5.0
376,3.0
377,11.0
378,4.0
379,10.0
380,15.0
381,15.0
382,13.0
383,7.0
384,12.0
385,8.0
386,7.0
387,13.0
388,14.0
389,13.0
390,9.0
391,16.0
392,15.0
393,13.0
394,16.0
395,9.0
396,6.0
397,16.0
398,14.0
399,11.0
400,15.0
401,7.0
402,6.0
403,12.0
404,15.0
405,9.0
406,17.0
407,11.0
408,17.0
409,9.0
410,11.0
411,9.0
412,9.0
413,15.0
414,11.0
415,14.0
416,9.0
417,12.0
418,12.0
419,10.0
420,15.0
421,10.0
422,9.0
423,12.0
424,10.0
425,14.0
426,15.0
427,16.0
428,12.0
429,18.0
430,11.0
431,17.0
432,11.0
433,14.0
434,14.0
435,10.0
436,8.0
437,11.0
438,15.0
439,12.0
440,10.0
441,11.0
442,18.0
443,12.0
444,13.0
445,14.0
446,14.0
447,19.0
448,13.0
449,9.0
450,14.0
451,10.0
452,13.0
453,10.0
454,15.0
455,11.0
456,13.0
457,15.0
458,12.0
459,17.0
460,15.0
461,18.0
462,6.0
463,12.0
464,11.0
465,10.0
466,7.0
467,13.0
468,16.0
469,11.0
470,12.0
471,15.0
472,17.0
473,10.0
474,12.0
475,15.0
476,12.0
477,13.0
478,14.0
479,18.0
480,7.0
481,10.0
482,16.0
483,12.0
484,18.0
485,17.0
486,13.0
487,5.0
488,12.0
489,16.0
490,15.0
491,3.0
492,10.0
493,12.0
494,8.0
495,17.0
496,13.0
497,12.0
498,14.0
499,16.0
500,11.0
501,14.0
502,13.0
503,15.0
504,15.0
505,17.0
506,6.0
507,9.0
508,11.0
509,12.0
510,17.0
511,17.0
512,18.0
513,13.0
514,16.0
515,13.0
516,13.0
517,18.0
518,11.0
519,17.0
520,13.0
521,14.0
522,11.0
523,15.0
524,19.0
525,15.0
526,13.0
527,7.0
528,13.0
529,16.0
530,18.0
531,14.0
532,16.0
533,11.0
534,10.0
535,10.0
536,13.0
537,14.0
538,19.0
539,15.0
540,17.0
541,17.0
542,14.0
543,16.0
544,13.0
545,12.0
546,7.0
547,14.0
548,9.0
549,11.0
550,8.0
551,15.0
552,16.0
553,10.0
554,10.0
555,17.0
556,15.0
557,13.0
558,14.0
559,10.0
560,10.0
561,20.0
562,12.0
563,13.0
564,19.0
565,16.0
566,13.0
567,14.0
568,18.0
