episode,score
0,0.0
1,1.0
2,0.0
3,0.0
4,-4.0
5,-1.0
6,1.0
7,0.0
8,2.0
9,5.0
10,-1.0
11,1.0
12,-1.0
13,1.0
14,0.0
15,1.0
16,0.0
17,0.0
18,-1.0
19,0.0
20,0.0
21,0.0
22,1.0
23,0.0
24,0.0
25,0.0
26,0.0
27,-1.0
28,1.0
29,0.0
30,-2.0
31,1.0
32,-2.0
33,0.0
34,-1.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,-1.0
41,0.0
42,0.0
43,0.0
44,1.0
45,1.0
46,1.0
47,-1.0
48,1.0
49,-1.0
50,1.0
51,-1.0
52,1.0
53,-1.0
54,0.0
55,1.0
56,1.0
57,1.0
58,1.0
59,-2.0
60,0.0
61,0.0
62,1.0
63,2.0
64,1.0
65,2.0
66,-1.0
67,0.0
68,-1.0
69,0.0
70,0.0
71,-1.0
72,0.0
73,-1.0
74,-2.0
75,1.0
76,0.0
77,-1.0
78,-1.0
79,-1.0
80,1.0
81,0.0
82,1.0
83,2.0
84,0.0
85,4.0
86,0.0
87,1.0
88,0.0
89,0.0
90,2.0
91,1.0
92,-1.0
93,2.0
94,-1.0
95,1.0
96,1.0
97,0.0
98,3.0
99,0.0
100,2.0
101,2.0
102,1.0
103,2.0
104,-1.0
105,2.0
106,-1.0
107,1.0
108,2.0
109,2.0
110,1.0
111,-1.0
112,0.0
113,1.0
114,1.0
115,2.0
116,0.0
117,0.0
118,0.0
119,0.0
120,1.0
121,0.0
122,-1.0
123,2.0
124,0.0
125,3.0
126,1.0
127,-1.0
128,4.0
129,1.0
130,0.0
131,2.0
132,2.0
133,1.0
134,1.0
135,-1.0
136,3.0
137,0.0
138,-1.0
139,1.0
140,0.0
141,1.0
142,-1.0
143,10.0
144,3.0
145,2.0
146,0.0
147,1.0
148,0.0
149,3.0
150,-1.0
151,5.0
152,1.0
153,6.0
154,4.0
155,0.0
156,5.0
157,1.0
158,2.0
159,-1.0
160,8.0
161,3.0
162,6.0
163,3.0
164,5.0
165,5.0
166,4.0
167,3.0
168,4.0
169,3.0
170,1.0
171,1.0
172,1.0
173,3.0
174,3.0
175,1.0
176,8.0
177,2.0
178,6.0
179,4.0
180,2.0
181,1.0
182,5.0
183,6.0
184,2.0
185,3.0
186,3.0
187,2.0
188,3.0
189,2.0
190,4.0
191,3.0
192,5.0
193,7.0
194,8.0
195,5.0
196,8.0
197,3.0
198,5.0
199,7.0
200,7.0
201,0.0
202,1.0
203,5.0
204,6.0
205,2.0
206,11.0
207,5.0
208,5.0
209,4.0
210,9.0
211,6.0
212,4.0
213,3.0
214,1.0
215,5.0
216,7.0
217,5.0
218,7.0
219,11.0
220,3.0
221,6.0
222,11.0
223,7.0
224,11.0
225,3.0
226,9.0
227,9.0
228,9.0
229,0.0
230,8.0
231,6.0
232,7.0
233,4.0
234,2.0
235,3.0
236,7.0
237,1.0
238,4.0
239,6.0
240,8.0
241,8.0
242,8.0
243,12.0
244,6.0
245,15.0
246,4.0
247,8.0
248,0.0
249,7.0
250,1.0
251,7.0
252,2.0
253,12.0
254,10.0
255,1.0
256,6.0
257,7.0
258,9.0
259,13.0
260,6.0
261,13.0
262,8.0
263,8.0
264,9.0
265,2.0
266,13.0
267,9.0
268,0.0
269,7.0
270,9.0
271,7.0
272,6.0
273,13.0
274,3.0
275,6.0
276,1.0
277,6.0
278,7.0
279,10.0
280,10.0
281,8.0
282,6.0
283,9.0
284,11.0
285,11.0
286,4.0
287,7.0
288,2.0
289,8.0
290,7.0
291,10.0
292,8.0
293,1.0
294,10.0
295,10.0
296,7.0
297,13.0
298,14.0
299,5.0
300,6.0
301,11.0
302,4.0
303,7.0
304,0.0
305,9.0
306,10.0
307,8.0
308,12.0
309,5.0
310,4.0
311,9.0
312,1.0
313,6.0
314,11.0
315,5.0
316,6.0
317,8.0
318,13.0
319,10.0
320,16.0
321,8.0
322,10.0
323,11.0
324,3.0
325,12.0
326,13.0
327,8.0
328,10.0
329,10.0
330,10.0
331,0.0
332,11.0
333,3.0
334,10.0
335,15.0
336,9.0
337,0.0
338,3.0
339,3.0
340,2.0
341,1.0
342,11.0
343,13.0
344,7.0
345,9.0
346,18.0
347,14.0
348,12.0
349,17.0
350,6.0
351,3.0
352,10.0
353,12.0
354,8.0
355,7.0
356,15.0
357,1.0
358,7.0
359,11.0
360,14.0
361,3.0
362,7.0
363,1.0
364,11.0
365,12.0
366,0.0
367,12.0
368,9.0
369,15.0
370,12.0
371,6.0
372,14.0
373,12.0
374,11.0
375,8.0
376,5.0
377,11.0
378,8.0
379,6.0
380,10.0
381,8.0
382,12.0
383,4.0
384,12.0
385,8.0
386,7.0
387,12.0
388,11.0
389,13.0
390,8.0
391,8.0
392,13.0
393,8.0
394,25.0
395,11.0
396,10.0
397,16.0
398,9.0
399,12.0
400,6.0
401,15.0
402,14.0
403,11.0
404,12.0
405,13.0
406,11.0
407,16.0
408,16.0
409,9.0
410,12.0
411,11.0
412,14.0
413,9.0
414,10.0
415,15.0
416,15.0
417,15.0
418,8.0
419,12.0
420,11.0
421,18.0
422,15.0
423,6.0
424,12.0
425,18.0
426,5.0
427,5.0
428,17.0
429,7.0
430,0.0
431,12.0
432,4.0
433,11.0
434,12.0
435,16.0
436,5.0
437,4.0
438,9.0
439,17.0
440,11.0
441,8.0
442,5.0
443,11.0
444,6.0
445,12.0
446,7.0
447,10.0
448,10.0
449,13.0
450,14.0
451,19.0
452,11.0
453,10.0
454,12.0
455,17.0
456,12.0
457,12.0
458,19.0
459,10.0
460,14.0
461,11.0
462,11.0
463,16.0
464,10.0
465,17.0
466,14.0
467,15.0
468,16.0
469,12.0
470,14.0
471,18.0
472,16.0
473,6.0
474,16.0
475,10.0
476,7.0
477,17.0
478,5.0
479,20.0
480,12.0
481,15.0
482,15.0
483,3.0
484,12.0
485,14.0
486,14.0
487,14.0
488,13.0
489,16.0
490,12.0
491,14.0
492,13.0
493,13.0
494,11.0
495,16.0
496,12.0
497,4.0
498,6.0
499,10.0
500,15.0
501,16.0
502,16.0
503,16.0
504,6.0
505,19.0
506,17.0
507,8.0
508,19.0
509,15.0
510,15.0
511,16.0
512,11.0
513,9.0
514,13.0
515,12.0
516,13.0
517,9.0
518,21.0
519,14.0
520,15.0
521,15.0
522,14.0
523,18.0
524,11.0
525,21.0
526,13.0
527,18.0
528,21.0
529,18.0
530,12.0
531,16.0
532,18.0
533,12.0
534,17.0
535,14.0
536,12.0
537,11.0
538,16.0
539,15.0
540,9.0
541,6.0
542,12.0
543,19.0
544,14.0
545,11.0
546,12.0
547,15.0
548,11.0
549,18.0
550,9.0
551,17.0
552,10.0
553,12.0
554,15.0
555,13.0
556,11.0
557,19.0
558,17.0
559,14.0
560,21.0
561,13.0
562,16.0
563,5.0
564,17.0
565,16.0
566,13.0
567,9.0
568,22.0
569,13.0
570,16.0
571,13.0
572,18.0
573,15.0
574,12.0
575,16.0
576,12.0
577,17.0
578,14.0
579,17.0
580,17.0
581,16.0
582,15.0
583,18.0
584,10.0
585,8.0
586,10.0
587,20.0
588,16.0
589,17.0
590,17.0
591,21.0
592,19.0
593,17.0
594,18.0
595,18.0
596,12.0
597,18.0
598,15.0
599,13.0
600,20.0
601,21.0
602,16.0
603,10.0
604,13.0
605,17.0
606,20.0
607,19.0
608,14.0
609,20.0
610,17.0
611,13.0
612,16.0
613,13.0
614,11.0
615,16.0
616,16.0
617,15.0
618,11.0
619,17.0
620,11.0
621,10.0
622,11.0
623,22.0
624,8.0
625,15.0
626,15.0
627,20.0
628,13.0
629,21.0
630,17.0
631,10.0
632,17.0
633,16.0
