episode,score
0,1.0
1,0.0
2,0.0
3,-1.0
4,-1.0
5,-1.0
6,0.0
7,-2.0
8,0.0
9,1.0
10,0.0
11,0.0
12,0.0
13,0.0
14,-2.0
15,0.0
16,1.0
17,0.0
18,3.0
19,0.0
20,0.0
21,0.0
22,0.0
23,-1.0
24,0.0
25,-2.0
26,-1.0
27,0.0
28,1.0
29,0.0
30,1.0
31,-3.0
32,2.0
33,2.0
34,-1.0
35,1.0
36,0.0
37,-1.0
38,0.0
39,-1.0
40,-1.0
41,-1.0
42,1.0
43,2.0
44,-1.0
45,-1.0
46,2.0
47,-1.0
48,2.0
49,1.0
50,-1.0
51,0.0
52,-1.0
53,1.0
54,0.0
55,1.0
56,0.0
57,1.0
58,1.0
59,1.0
60,1.0
61,1.0
62,-1.0
63,0.0
64,0.0
65,1.0
66,-3.0
67,2.0
68,1.0
69,0.0
70,0.0
71,0.0
72,-1.0
73,2.0
74,0.0
75,1.0
76,-1.0
77,1.0
78,0.0
79,1.0
80,2.0
81,1.0
82,2.0
83,-2.0
84,1.0
85,1.0
86,2.0
87,1.0
88,-1.0
89,1.0
90,0.0
91,3.0
92,-1.0
93,0.0
94,-1.0
95,-1.0
96,0.0
97,-1.0
98,2.0
99,0.0
100,2.0
101,2.0
102,2.0
103,1.0
104,1.0
105,0.0
106,2.0
107,0.0
108,2.0
109,1.0
110,1.0
111,3.0
112,-1.0
113,2.0
114,4.0
115,1.0
116,1.0
117,0.0
118,2.0
119,6.0
120,0.0
121,3.0
122,0.0
123,0.0
124,2.0
125,1.0
126,2.0
127,0.0
128,1.0
129,0.0
130,3.0
131,-1.0
132,0.0
133,0.0
134,4.0
135,1.0
136,-1.0
137,1.0
138,0.0
139,2.0
140,-1.0
141,0.0
142,4.0
143,1.0
144,1.0
145,3.0
146,-1.0
147,1.0
148,5.0
149,4.0
150,0.0
151,-1.0
152,1.0
153,3.0
154,3.0
155,3.0
156,1.0
157,3.0
158,4.0
159,2.0
160,0.0
161,2.0
162,4.0
163,3.0
164,10.0
165,5.0
166,6.0
167,2.0
168,1.0
169,1.0
170,6.0
171,2.0
172,0.0
173,3.0
174,5.0
175,4.0
176,0.0
177,4.0
178,0.0
179,5.0
180,6.0
181,1.0
182,3.0
183,6.0
184,3.0
185,3.0
186,4.0
187,7.0
188,4.0
189,4.0
190,5.0
191,4.0
192,4.0
193,7.0
194,2.0
195,1.0
196,0.0
197,11.0
198,9.0
199,13.0
200,1.0
201,3.0
202,3.0
203,8.0
204,7.0
205,3.0
206,2.0
207,6.0
208,6.0
209,2.0
210,4.0
211,7.0
212,3.0
213,3.0
214,10.0
215,7.0
216,8.0
217,2.0
218,4.0
219,1.0
220,1.0
221,4.0
222,3.0
223,10.0
224,6.0
225,4.0
226,8.0
227,9.0
228,4.0
229,3.0
230,7.0
231,4.0
232,4.0
233,10.0
234,9.0
235,6.0
236,8.0
237,4.0
238,0.0
239,5.0
240,10.0
241,6.0
242,4.0
243,3.0
244,1.0
245,2.0
246,8.0
247,3.0
248,5.0
249,7.0
250,7.0
251,9.0
252,4.0
253,6.0
254,0.0
255,10.0
256,3.0
257,6.0
258,8.0
259,8.0
260,15.0
261,4.0
262,7.0
263,5.0
264,3.0
265,5.0
266,7.0
267,3.0
268,11.0
269,8.0
270,4.0
271,5.0
272,7.0
273,6.0
274,11.0
275,11.0
276,10.0
277,1.0
278,9.0
279,8.0
280,9.0
281,3.0
282,12.0
283,11.0
284,6.0
285,10.0
286,10.0
287,9.0
288,8.0
289,9.0
290,1.0
291,12.0
292,9.0
293,2.0
294,10.0
295,6.0
296,7.0
297,14.0
298,2.0
299,13.0
300,3.0
301,11.0
302,2.0
303,8.0
304,10.0
305,3.0
306,4.0
307,0.0
308,10.0
309,3.0
310,10.0
311,5.0
312,1.0
313,9.0
314,6.0
315,4.0
316,11.0
317,2.0
318,10.0
319,15.0
320,5.0
321,5.0
322,7.0
323,6.0
324,9.0
325,12.0
326,10.0
327,12.0
328,1.0
329,10.0
330,10.0
331,17.0
332,7.0
333,1.0
334,11.0
335,15.0
336,9.0
337,7.0
338,2.0
339,6.0
340,6.0
341,6.0
342,10.0
343,12.0
344,9.0
345,5.0
346,12.0
347,1.0
348,12.0
349,6.0
350,7.0
351,10.0
352,13.0
353,2.0
354,12.0
355,9.0
356,7.0
357,15.0
358,15.0
359,14.0
360,6.0
361,8.0
362,5.0
363,14.0
364,11.0
365,12.0
366,9.0
367,12.0
368,13.0
369,1.0
370,10.0
371,2.0
372,10.0
373,15.0
374,7.0
375,11.0
376,13.0
377,13.0
378,23.0
379,0.0
380,15.0
381,8.0
382,3.0
383,13.0
384,11.0
385,10.0
386,15.0
387,14.0
388,16.0
389,15.0
390,12.0
391,16.0
392,8.0
393,6.0
394,13.0
