episode,score
0,0.0
1,1.0
2,-1.0
3,-1.0
4,-1.0
5,-1.0
6,0.0
7,0.0
8,1.0
9,0.0
10,0.0
11,0.0
12,2.0
13,0.0
14,0.0
15,1.0
16,0.0
17,0.0
18,1.0
19,-1.0
20,2.0
21,1.0
22,1.0
23,0.0
24,0.0
25,0.0
26,0.0
27,-3.0
28,5.0
29,0.0
30,0.0
31,1.0
32,-1.0
33,-1.0
34,1.0
35,0.0
36,1.0
37,0.0
38,-1.0
39,-1.0
40,-1.0
41,2.0
42,-1.0
43,1.0
44,-2.0
45,1.0
46,0.0
47,-2.0
48,2.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,-2.0
55,-1.0
56,2.0
57,1.0
58,0.0
59,-2.0
60,1.0
61,0.0
62,-1.0
63,1.0
64,0.0
65,2.0
66,2.0
67,2.0
68,0.0
69,1.0
70,-1.0
71,1.0
72,2.0
73,2.0
74,0.0
75,3.0
76,3.0
77,0.0
78,4.0
79,4.0
80,0.0
81,2.0
82,0.0
83,1.0
84,-1.0
85,2.0
86,3.0
87,0.0
88,2.0
89,2.0
90,0.0
91,1.0
92,0.0
93,-1.0
94,1.0
95,3.0
96,2.0
97,-2.0
98,0.0
99,2.0
100,1.0
101,4.0
102,8.0
103,1.0
104,2.0
105,2.0
106,4.0
107,4.0
108,-1.0
109,3.0
110,2.0
111,4.0
112,4.0
113,4.0
114,4.0
115,1.0
116,3.0
117,3.0
118,1.0
119,7.0
120,4.0
121,1.0
122,2.0
123,4.0
124,1.0
125,4.0
126,6.0
127,2.0
128,2.0
129,0.0
130,5.0
131,2.0
132,4.0
133,7.0
134,5.0
135,3.0
136,4.0
137,3.0
138,5.0
139,1.0
140,3.0
141,5.0
142,4.0
143,6.0
144,4.0
145,1.0
146,6.0
147,4.0
148,-1.0
149,6.0
150,5.0
151,3.0
152,4.0
153,1.0
154,4.0
155,6.0
156,6.0
157,2.0
158,9.0
159,2.0
160,4.0
161,-1.0
162,6.0
163,8.0
164,6.0
165,0.0
166,4.0
167,7.0
168,0.0
169,0.0
170,7.0
171,7.0
172,4.0
173,7.0
174,5.0
175,1.0
176,8.0
177,5.0
178,2.0
179,1.0
180,5.0
181,3.0
182,7.0
183,-2.0
184,4.0
185,3.0
186,8.0
187,7.0
188,9.0
189,7.0
190,4.0
191,12.0
192,9.0
193,3.0
194,14.0
195,3.0
196,7.0
197,5.0
198,6.0
199,6.0
200,4.0
201,4.0
202,0.0
203,6.0
204,10.0
205,5.0
206,2.0
207,0.0
208,3.0
209,11.0
210,9.0
211,5.0
212,8.0
213,12.0
214,6.0
215,3.0
216,12.0
217,2.0
218,12.0
219,6.0
220,9.0
221,7.0
222,9.0
223,11.0
224,7.0
225,12.0
226,6.0
227,2.0
228,2.0
229,5.0
230,5.0
231,9.0
232,7.0
233,9.0
234,2.0
235,6.0
236,5.0
237,6.0
238,9.0
239,6.0
240,4.0
241,9.0
242,6.0
243,1.0
244,4.0
245,5.0
246,8.0
247,8.0
248,10.0
249,5.0
250,1.0
251,9.0
252,12.0
253,5.0
254,4.0
255,9.0
256,12.0
257,4.0
258,12.0
259,7.0
260,10.0
261,13.0
262,11.0
263,10.0
264,4.0
265,7.0
266,8.0
267,5.0
268,6.0
269,11.0
270,9.0
271,6.0
272,5.0
273,14.0
274,11.0
275,15.0
276,10.0
277,1.0
278,4.0
279,7.0
280,5.0
281,1.0
282,6.0
283,15.0
284,5.0
285,8.0
286,9.0
287,8.0
288,13.0
289,6.0
290,3.0
291,6.0
292,9.0
293,9.0
294,12.0
295,8.0
296,11.0
297,8.0
298,20.0
299,9.0
300,2.0
301,7.0
302,11.0
303,9.0
304,8.0
305,8.0
306,6.0
307,7.0
308,12.0
309,12.0
310,5.0
311,4.0
312,9.0
313,11.0
314,8.0
315,12.0
316,12.0
317,8.0
318,10.0
319,21.0
320,0.0
321,12.0
322,15.0
323,11.0
324,18.0
325,4.0
326,13.0
327,10.0
328,7.0
329,14.0
330,8.0
331,17.0
332,15.0
333,13.0
334,15.0
335,5.0
336,11.0
337,3.0
338,11.0
339,11.0
340,9.0
341,10.0
342,11.0
343,19.0
344,15.0
345,8.0
346,14.0
347,4.0
348,14.0
349,8.0
350,14.0
351,15.0
352,15.0
353,5.0
354,7.0
355,8.0
356,13.0
357,11.0
358,13.0
359,6.0
360,12.0
361,12.0
362,11.0
363,13.0
364,8.0
365,16.0
366,9.0
367,16.0
368,11.0
369,5.0
370,14.0
371,14.0
372,10.0
373,10.0
374,8.0
375,10.0
376,1.0
377,5.0
378,4.0
379,5.0
380,7.0
381,15.0
382,10.0
383,12.0
384,15.0
385,9.0
386,12.0
387,9.0
388,3.0
389,15.0
390,14.0
391,12.0
392,11.0
393,6.0
394,5.0
395,9.0
396,7.0
397,12.0
398,8.0
399,16.0
400,8.0
401,11.0
402,17.0
403,10.0
404,13.0
405,15.0
406,15.0
407,9.0
408,9.0
409,10.0
410,12.0
411,10.0
412,6.0
413,9.0
414,11.0
415,9.0
416,11.0
417,8.0
418,11.0
419,10.0
420,17.0
421,18.0
422,16.0
423,12.0
424,13.0
425,4.0
426,14.0
427,14.0
428,11.0
429,14.0
430,9.0
431,3.0
432,16.0
433,8.0
434,15.0
435,13.0
436,13.0
437,14.0
438,17.0
439,10.0
440,12.0
441,13.0
442,11.0
443,8.0
444,9.0
445,14.0
446,5.0
447,11.0
448,7.0
449,8.0
450,15.0
451,11.0
452,10.0
453,15.0
454,12.0
455,17.0
456,5.0
457,9.0
458,11.0
459,18.0
460,12.0
461,9.0
462,19.0
463,12.0
464,6.0
465,11.0
466,17.0
467,4.0
468,10.0
469,19.0
470,7.0
471,12.0
472,15.0
473,15.0
474,14.0
475,17.0
476,16.0
477,8.0
478,12.0
479,8.0
480,13.0
481,20.0
482,14.0
483,13.0
484,15.0
485,19.0
486,10.0
487,12.0
488,11.0
489,18.0
490,11.0
491,7.0
492,14.0
493,17.0
494,6.0
495,11.0
496,15.0
497,13.0
498,12.0
499,17.0
500,7.0
501,18.0
502,16.0
503,18.0
504,17.0
505,15.0
506,13.0
507,15.0
508,16.0
509,18.0
510,15.0
511,15.0
512,19.0
513,18.0
514,11.0
515,13.0
516,12.0
517,14.0
518,18.0
519,14.0
520,14.0
521,8.0
522,12.0
523,15.0
524,22.0
525,10.0
526,16.0
527,18.0
528,15.0
529,11.0
530,17.0
531,16.0
532,7.0
533,13.0
534,13.0
535,15.0
536,16.0
537,6.0
538,14.0
539,15.0
540,16.0
541,14.0
542,17.0
543,8.0
544,8.0
545,18.0
546,15.0
547,19.0
548,14.0
549,14.0
550,14.0
551,17.0
552,14.0
553,17.0
554,16.0
555,17.0
556,13.0
557,17.0
558,13.0
559,18.0
560,15.0
561,12.0
562,12.0
563,20.0
564,19.0
565,17.0
566,15.0
567,9.0
568,14.0
569,15.0
570,14.0
571,12.0
572,14.0
573,12.0
574,18.0
575,13.0
576,14.0
577,15.0
578,11.0
579,14.0
580,6.0
581,15.0
582,13.0
583,15.0
584,16.0
585,13.0
586,6.0
587,14.0
588,17.0
589,17.0
590,13.0
591,19.0
592,12.0
593,14.0
594,8.0
595,7.0
596,18.0
597,10.0
598,17.0
599,11.0
600,16.0
601,18.0
602,14.0
603,14.0
604,23.0
605,12.0
606,15.0
607,9.0
608,9.0
609,16.0
610,19.0
611,7.0
612,17.0
613,15.0
614,16.0
615,16.0
616,13.0
617,15.0
618,13.0
619,18.0
620,16.0
621,5.0
622,18.0
623,14.0
624,20.0
625,9.0
626,13.0
627,17.0
628,11.0
629,15.0
630,24.0
631,21.0
632,17.0
633,8.0
634,12.0
