episode,score
0,0.0
1,0.0
2,0.0
3,-1.0
4,2.0
5,0.0
6,-1.0
7,1.0
8,-1.0
9,1.0
10,0.0
11,0.0
12,1.0
13,0.0
14,1.0
15,2.0
16,-2.0
17,-1.0
18,-1.0
19,-2.0
20,0.0
21,1.0
22,0.0
23,2.0
24,-1.0
25,-1.0
26,1.0
27,0.0
28,-1.0
29,-2.0
30,1.0
31,1.0
32,0.0
33,0.0
34,0.0
35,0.0
36,1.0
37,-1.0
38,2.0
39,1.0
40,-1.0
41,-2.0
42,-2.0
43,0.0
44,0.0
45,0.0
46,-2.0
47,0.0
48,-1.0
49,0.0
50,-2.0
51,0.0
52,-2.0
53,1.0
54,1.0
55,2.0
56,2.0
57,2.0
58,0.0
59,0.0
60,1.0
61,-1.0
62,1.0
63,0.0
64,2.0
65,1.0
66,1.0
67,0.0
68,0.0
69,-1.0
70,-2.0
71,0.0
72,2.0
73,0.0
74,-1.0
75,0.0
76,3.0
77,0.0
78,-2.0
79,2.0
80,-2.0
81,-1.0
82,2.0
83,-1.0
84,0.0
85,0.0
86,1.0
87,-3.0
88,-1.0
89,1.0
90,0.0
91,0.0
92,0.0
93,0.0
94,2.0
95,-3.0
96,0.0
97,1.0
98,-1.0
99,1.0
100,2.0
101,2.0
102,0.0
103,1.0
104,-2.0
105,2.0
106,2.0
107,2.0
108,2.0
109,0.0
110,1.0
111,-1.0
112,2.0
113,4.0
114,0.0
115,5.0
116,1.0
117,1.0
118,1.0
119,1.0
120,0.0
121,1.0
122,2.0
123,3.0
124,5.0
125,2.0
126,1.0
127,0.0
128,4.0
129,1.0
130,4.0
131,0.0
132,4.0
133,0.0
134,0.0
135,2.0
136,0.0
137,0.0
138,2.0
139,1.0
140,2.0
141,5.0
142,-1.0
143,4.0
144,-1.0
145,0.0
146,2.0
147,9.0
148,0.0
149,2.0
150,-1.0
151,3.0
152,1.0
153,1.0
154,0.0
155,0.0
156,3.0
157,7.0
158,1.0
159,3.0
160,0.0
161,1.0
162,2.0
163,8.0
164,1.0
165,6.0
166,0.0
167,3.0
168,1.0
169,0.0
170,2.0
171,4.0
172,3.0
173,3.0
174,4.0
175,1.0
176,0.0
177,0.0
178,4.0
179,0.0
180,5.0
181,2.0
182,3.0
183,1.0
184,1.0
185,2.0
186,2.0
187,3.0
188,2.0
189,0.0
190,2.0
191,2.0
192,5.0
193,1.0
194,6.0
195,3.0
196,3.0
197,7.0
198,6.0
199,0.0
200,4.0
201,4.0
202,2.0
203,-1.0
204,1.0
205,5.0
206,5.0
207,8.0
208,2.0
209,4.0
210,4.0
211,12.0
212,5.0
213,0.0
214,3.0
215,4.0
216,-1.0
217,4.0
218,10.0
219,3.0
220,4.0
221,6.0
222,4.0
223,7.0
224,9.0
225,4.0
226,0.0
227,0.0
228,7.0
229,4.0
230,9.0
231,4.0
232,8.0
233,2.0
234,13.0
235,8.0
236,12.0
237,1.0
238,7.0
239,8.0
240,4.0
241,5.0
242,9.0
243,7.0
244,0.0
245,5.0
246,1.0
247,6.0
248,6.0
249,11.0
250,0.0
251,15.0
252,1.0
253,2.0
254,5.0
255,4.0
256,2.0
257,2.0
258,13.0
259,0.0
260,5.0
261,10.0
262,3.0
263,6.0
264,7.0
265,4.0
266,4.0
267,3.0
268,11.0
269,2.0
270,6.0
271,7.0
272,10.0
273,5.0
274,6.0
275,7.0
276,12.0
277,10.0
278,11.0
279,9.0
280,13.0
281,5.0
282,1.0
283,3.0
284,8.0
285,9.0
286,8.0
287,8.0
288,9.0
289,10.0
290,1.0
291,10.0
292,16.0
293,9.0
294,11.0
295,11.0
296,5.0
297,4.0
298,7.0
299,11.0
300,9.0
301,4.0
302,12.0
303,10.0
304,12.0
305,7.0
306,7.0
307,4.0
308,8.0
309,4.0
310,2.0
311,17.0
312,7.0
313,6.0
314,12.0
315,9.0
316,6.0
317,4.0
318,7.0
319,11.0
320,9.0
321,1.0
322,10.0
323,11.0
324,11.0
325,12.0
326,11.0
327,6.0
328,10.0
329,7.0
330,4.0
331,8.0
332,10.0
333,4.0
334,6.0
335,6.0
336,11.0
337,4.0
338,7.0
339,4.0
340,0.0
341,1.0
342,8.0
343,6.0
344,14.0
345,12.0
346,3.0
347,9.0
348,1.0
349,3.0
350,8.0
351,8.0
352,14.0
353,0.0
354,2.0
355,18.0
356,5.0
357,12.0
358,22.0
359,17.0
360,11.0
361,8.0
362,1.0
363,14.0
364,4.0
365,2.0
366,14.0
367,4.0
368,10.0
369,4.0
370,17.0
371,21.0
372,3.0
373,7.0
374,5.0
375,10.0
376,4.0
377,17.0
378,13.0
379,10.0
380,6.0
381,8.0
382,13.0
383,1.0
384,5.0
385,16.0
386,16.0
387,8.0
388,9.0
389,12.0
390,6.0
391,9.0
392,16.0
393,3.0
394,17.0
395,12.0
396,3.0
397,8.0
398,12.0
399,6.0
400,15.0
401,9.0
402,2.0
403,3.0
404,13.0
405,12.0
406,5.0
407,4.0
408,16.0
409,8.0
410,11.0
411,11.0
412,7.0
413,9.0
414,17.0
415,14.0
416,14.0
417,5.0
418,6.0
419,6.0
420,10.0
421,8.0
422,8.0
423,12.0
424,14.0
425,6.0
426,11.0
427,12.0
428,19.0
429,4.0
430,16.0
431,16.0
432,10.0
433,14.0
434,18.0
435,11.0
436,15.0
437,5.0
438,4.0
439,1.0
440,14.0
441,11.0
442,14.0
443,10.0
444,16.0
445,13.0
446,18.0
447,18.0
448,9.0
449,19.0
450,15.0
451,13.0
452,14.0
453,13.0
454,16.0
455,15.0
456,16.0
457,15.0
458,12.0
459,6.0
460,13.0
461,12.0
462,24.0
463,12.0
464,18.0
465,14.0
466,15.0
467,16.0
468,15.0
469,10.0
470,11.0
471,15.0
472,12.0
473,11.0
474,18.0
475,14.0
476,12.0
477,17.0
478,17.0
479,14.0
480,11.0
481,13.0
482,7.0
483,17.0
484,11.0
485,13.0
486,4.0
487,13.0
488,6.0
489,13.0
490,17.0
491,18.0
492,15.0
493,15.0
494,15.0
495,13.0
496,12.0
497,11.0
498,16.0
499,13.0
500,13.0
501,17.0
502,10.0
503,20.0
504,20.0
505,15.0
506,12.0
507,18.0
508,18.0
509,14.0
510,13.0
511,7.0
512,12.0
513,9.0
514,16.0
515,15.0
516,15.0
517,12.0
518,15.0
519,10.0
520,11.0
521,20.0
522,11.0
523,7.0
524,14.0
525,16.0
526,14.0
527,11.0
528,15.0
529,9.0
530,12.0
531,16.0
532,18.0
533,14.0
534,7.0
535,20.0
536,18.0
537,20.0
538,13.0
539,16.0
540,13.0
541,21.0
542,14.0
543,6.0
544,10.0
545,17.0
546,15.0
547,12.0
548,14.0
549,16.0
550,13.0
551,5.0
552,7.0
553,16.0
554,16.0
555,12.0
556,15.0
557,19.0
558,8.0
559,17.0
560,14.0
561,18.0
562,4.0
563,7.0
564,11.0
565,11.0
