episode,score
0,0.0
1,2.0
2,-1.0
3,0.0
4,1.0
5,0.0
6,-1.0
7,0.0
8,-2.0
9,-3.0
10,0.0
11,-1.0
12,0.0
13,1.0
14,0.0
15,0.0
16,-2.0
17,0.0
18,-1.0
19,3.0
20,-1.0
21,0.0
22,0.0
23,2.0
24,0.0
25,0.0
26,2.0
27,0.0
28,-1.0
29,-1.0
30,1.0
31,-1.0
32,3.0
33,-1.0
34,2.0
35,2.0
36,1.0
37,0.0
38,0.0
39,-1.0
40,1.0
41,1.0
42,-2.0
43,0.0
44,-2.0
45,0.0
46,0.0
47,1.0
48,0.0
49,0.0
50,-1.0
51,-3.0
52,-1.0
53,0.0
54,1.0
55,0.0
56,0.0
57,1.0
58,0.0
59,-1.0
60,0.0
61,0.0
62,-2.0
63,-1.0
64,0.0
65,-3.0
66,-1.0
67,0.0
68,-2.0
69,2.0
70,1.0
71,-1.0
72,3.0
73,0.0
74,0.0
75,-1.0
76,2.0
77,4.0
78,3.0
79,0.0
80,0.0
81,-1.0
82,-1.0
83,1.0
84,0.0
85,1.0
86,0.0
87,0.0
88,2.0
89,1.0
90,1.0
91,0.0
92,-1.0
93,0.0
94,2.0
95,0.0
96,0.0
97,-1.0
98,0.0
99,-1.0
100,0.0
101,3.0
102,-1.0
103,2.0
104,-2.0
105,1.0
106,1.0
107,3.0
108,2.0
109,1.0
110,1.0
111,3.0
112,5.0
113,2.0
114,-1.0
115,-3.0
116,3.0
117,-2.0
118,1.0
119,2.0
120,0.0
121,1.0
122,2.0
123,0.0
124,0.0
125,2.0
126,2.0
127,-2.0
128,1.0
129,2.0
130,-1.0
131,2.0
132,0.0
133,2.0
134,3.0
135,2.0
136,0.0
137,2.0
138,2.0
139,6.0
140,0.0
141,-1.0
142,1.0
143,3.0
144,2.0
145,2.0
146,1.0
147,1.0
148,6.0
149,3.0
150,1.0
151,2.0
152,3.0
153,1.0
154,2.0
155,0.0
156,1.0
157,2.0
158,1.0
159,1.0
160,3.0
161,2.0
162,-1.0
163,6.0
164,5.0
165,1.0
166,6.0
167,0.0
168,2.0
169,1.0
170,2.0
171,3.0
172,-1.0
173,4.0
174,0.0
175,4.0
176,3.0
177,-1.0
178,0.0
179,4.0
180,5.0
181,0.0
182,6.0
183,7.0
184,-1.0
185,3.0
186,0.0
187,4.0
188,2.0
189,7.0
190,2.0
191,0.0
192,0.0
193,0.0
194,1.0
195,8.0
196,2.0
197,3.0
198,4.0
199,1.0
200,11.0
201,3.0
202,2.0
203,4.0
204,6.0
205,5.0
206,4.0
207,9.0
208,0.0
209,3.0
210,8.0
211,2.0
212,-1.0
213,3.0
214,1.0
215,5.0
216,4.0
217,3.0
218,-1.0
219,2.0
220,8.0
221,3.0
222,0.0
223,6.0
224,7.0
225,1.0
226,3.0
227,13.0
228,3.0
229,3.0
230,3.0
231,1.0
232,3.0
233,6.0
234,3.0
235,0.0
236,2.0
237,0.0
238,7.0
239,6.0
240,10.0
241,6.0
242,3.0
243,5.0
244,9.0
245,2.0
