episode,score
0,0.0
1,1.0
2,-1.0
3,-1.0
4,0.0
5,0.0
6,0.0
7,0.0
8,1.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,-1.0
17,0.0
18,0.0
19,-1.0
20,2.0
21,-1.0
22,0.0
23,0.0
24,-1.0
25,-2.0
26,3.0
27,0.0
28,2.0
29,-1.0
30,1.0
31,1.0
32,-1.0
33,3.0
34,-3.0
35,1.0
36,-2.0
37,1.0
38,-1.0
39,-1.0
40,0.0
41,-1.0
42,0.0
43,-1.0
44,0.0
45,0.0
46,-1.0
47,0.0
48,0.0
49,2.0
50,1.0
51,0.0
52,-1.0
53,1.0
54,2.0
55,1.0
56,2.0
57,3.0
58,0.0
59,0.0
60,-1.0
61,-2.0
62,-1.0
63,0.0
64,3.0
65,0.0
66,3.0
67,0.0
68,1.0
69,2.0
70,1.0
71,2.0
72,2.0
73,1.0
74,0.0
75,0.0
76,1.0
77,3.0
78,-1.0
79,-1.0
80,1.0
81,-1.0
82,3.0
83,-2.0
84,-1.0
85,1.0
86,2.0
87,4.0
88,0.0
89,1.0
90,0.0
91,0.0
92,4.0
93,1.0
94,4.0
95,-2.0
96,0.0
97,-3.0
98,2.0
99,1.0
100,3.0
101,0.0
102,2.0
103,1.0
104,-1.0
105,0.0
106,3.0
107,4.0
108,-1.0
109,-1.0
110,-1.0
111,3.0
112,-1.0
113,0.0
114,1.0
115,1.0
116,-2.0
117,2.0
118,1.0
119,3.0
120,0.0
121,2.0
122,2.0
123,2.0
124,1.0
125,1.0
126,1.0
127,1.0
128,6.0
129,1.0
130,2.0
131,3.0
132,7.0
133,1.0
134,-1.0
135,2.0
136,1.0
137,2.0
138,0.0
139,1.0
140,2.0
141,1.0
142,5.0
143,1.0
144,2.0
145,0.0
146,2.0
147,4.0
148,1.0
149,3.0
150,0.0
151,1.0
152,1.0
153,2.0
154,-2.0
155,3.0
156,-1.0
157,1.0
158,0.0
159,6.0
160,0.0
161,6.0
162,4.0
163,2.0
164,6.0
165,4.0
166,8.0
167,4.0
168,3.0
169,2.0
170,6.0
171,0.0
172,4.0
173,5.0
174,11.0
175,5.0
176,1.0
177,6.0
178,4.0
179,7.0
180,5.0
181,8.0
182,5.0
183,4.0
184,8.0
185,9.0
186,5.0
187,7.0
188,-1.0
189,0.0
190,8.0
191,9.0
192,5.0
193,4.0
194,4.0
195,3.0
196,10.0
197,4.0
198,5.0
199,9.0
200,3.0
201,2.0
202,6.0
203,6.0
204,1.0
205,0.0
206,4.0
207,4.0
208,8.0
209,3.0
210,0.0
211,8.0
212,5.0
213,8.0
214,6.0
215,6.0
216,8.0
217,11.0
218,4.0
219,6.0
220,8.0
221,1.0
222,3.0
223,5.0
224,11.0
225,3.0
226,5.0
227,5.0
228,4.0
229,3.0
230,6.0
231,1.0
232,2.0
233,2.0
234,4.0
235,4.0
236,7.0
237,7.0
238,14.0
239,5.0
240,9.0
241,4.0
242,8.0
243,13.0
244,7.0
245,10.0
246,6.0
247,7.0
248,4.0
249,3.0
250,-1.0
251,1.0
252,9.0
253,1.0
254,7.0
255,11.0
256,3.0
257,1.0
258,12.0
259,6.0
260,9.0
261,12.0
262,8.0
263,11.0
264,3.0
265,3.0
266,6.0
267,8.0
268,9.0
269,10.0
270,5.0
271,7.0
272,2.0
273,9.0
274,3.0
275,7.0
276,7.0
277,2.0
278,12.0
279,2.0
280,3.0
281,8.0
282,12.0
283,7.0
284,3.0
285,12.0
286,8.0
287,11.0
288,3.0
289,0.0
290,9.0
291,3.0
292,6.0
293,3.0
294,9.0
295,8.0
296,5.0
297,10.0
298,10.0
299,2.0
300,3.0
301,11.0
302,5.0
303,7.0
304,2.0
305,9.0
306,7.0
307,2.0
308,9.0
309,8.0
310,12.0
311,6.0
312,4.0
313,12.0
314,3.0
315,11.0
316,8.0
317,10.0
318,11.0
319,13.0
320,5.0
321,4.0
322,10.0
323,6.0
324,11.0
325,8.0
326,5.0
327,11.0
328,7.0
329,9.0
330,12.0
331,11.0
332,4.0
333,13.0
334,18.0
335,14.0
336,6.0
337,8.0
338,2.0
339,4.0
340,11.0
341,9.0
342,14.0
343,10.0
344,10.0
345,8.0
346,6.0
347,4.0
348,1.0
349,12.0
350,15.0
351,3.0
352,13.0
353,10.0
354,3.0
355,7.0
356,8.0
357,8.0
358,9.0
359,5.0
360,14.0
361,18.0
362,4.0
363,5.0
364,6.0
365,11.0
366,12.0
367,10.0
368,9.0
369,11.0
370,11.0
371,10.0
372,11.0
373,3.0
374,12.0
375,12.0
376,15.0
377,-1.0
378,9.0
379,6.0
380,8.0
381,7.0
382,-1.0
383,6.0
384,2.0
385,14.0
386,12.0
387,13.0
388,6.0
389,2.0
390,8.0
391,7.0
392,7.0
393,9.0
394,3.0
395,6.0
396,13.0
397,9.0
398,14.0
399,5.0
400,10.0
401,15.0
402,6.0
403,14.0
404,5.0
405,16.0
406,4.0
407,14.0
408,11.0
409,6.0
410,15.0
411,13.0
412,14.0
413,17.0
414,5.0
415,11.0
416,7.0
417,8.0
418,16.0
419,6.0
420,19.0
421,10.0
422,15.0
423,12.0
424,12.0
425,7.0
426,6.0
427,5.0
428,2.0
429,8.0
430,8.0
431,11.0
432,14.0
433,10.0
434,11.0
435,12.0
436,7.0
437,9.0
438,15.0
439,8.0
440,11.0
441,13.0
442,10.0
443,17.0
444,14.0
445,7.0
446,10.0
447,15.0
448,5.0
449,18.0
450,12.0
451,12.0
452,8.0
453,17.0
454,18.0
455,9.0
456,15.0
457,16.0
458,4.0
459,8.0
460,7.0
461,15.0
462,16.0
463,8.0
464,10.0
465,18.0
466,11.0
467,9.0
468,13.0
469,14.0
470,7.0
471,13.0
472,17.0
473,6.0
474,2.0
475,16.0
476,17.0
477,9.0
478,8.0
479,12.0
480,26.0
481,14.0
482,19.0
483,9.0
484,19.0
485,15.0
486,15.0
487,9.0
488,13.0
489,21.0
490,8.0
491,11.0
492,15.0
493,6.0
494,10.0
495,10.0
496,17.0
497,5.0
498,7.0
499,9.0
500,16.0
501,16.0
502,10.0
503,8.0
504,13.0
505,24.0
506,21.0
507,14.0
508,9.0
509,12.0
510,16.0
511,10.0
512,10.0
513,9.0
514,8.0
515,18.0
516,13.0
517,8.0
518,13.0
519,19.0
520,14.0
521,13.0
522,17.0
523,17.0
524,18.0
525,16.0
526,13.0
527,19.0
528,20.0
529,19.0
530,15.0
531,13.0
532,8.0
533,12.0
534,12.0
535,6.0
536,20.0
537,11.0
538,12.0
539,8.0
540,17.0
541,12.0
542,14.0
543,12.0
544,12.0
545,15.0
546,16.0
547,11.0
548,21.0
549,16.0
550,14.0
551,17.0
552,15.0
553,14.0
554,17.0
555,14.0
556,7.0
557,21.0
558,14.0
559,19.0
560,13.0
561,17.0
562,14.0
563,21.0
564,14.0
565,14.0
566,19.0
567,19.0
568,24.0
569,8.0
570,21.0
571,15.0
572,17.0
573,18.0
574,22.0
575,15.0
576,19.0
577,17.0
578,19.0
579,12.0
580,15.0
581,13.0
582,22.0
583,10.0
584,18.0
585,5.0
586,15.0
587,16.0
588,19.0
589,10.0
590,17.0
591,14.0
592,18.0
593,13.0
594,13.0
595,16.0
596,16.0
597,19.0
598,13.0
599,18.0
600,6.0
601,17.0
602,16.0
603,15.0
604,8.0
605,17.0
606,23.0
607,13.0
608,14.0
609,15.0
610,15.0
611,17.0
612,17.0
613,15.0
614,12.0
615,16.0
616,10.0
617,9.0
618,18.0
619,17.0
620,9.0
621,15.0
622,20.0
623,14.0
624,17.0
625,12.0
626,12.0
627,16.0
628,17.0
629,16.0
630,18.0
631,14.0
632,16.0
